game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0027,2,MIL,31.0,21,0,130.0,1.4090909090909092,0.9754545454545455
S2324-G0027,3,CHA,24.0,25,0,99.0,0.9230769230769231,0.6528461538461539
S2324-G0027,3,MIL,33.0,23,0,130.0,1.375,0.955
S2324-G0027,4,CHA,18.0,22,0,99.0,0.782608695652174,0.5685652173913044
S2324-G0027,4,MIL,38.0,25,0,130.0,1.4615384615384615,1.0069230769230768
S2324-G0028,1,NYK,35.0,26,0,120.0,1.2962962962962963,0.8977777777777778
S2324-G0028,1,WAS,25.0,24,0,99.0,1.0,0.699
S2324-G0028,2,NYK,30.0,24,0,120.0,1.2,0.84
S2324-G0028,2,WAS,29.0,22,0,99.0,1.2608695652173914,0.8555217391304347
S2324-G0028,3,NYK,24.0,24,0,120.0,0.96,0.696
S2324-G0028,3,WAS,30.0,23,0,99.0,1.25,0.849
S2324-G0028,4,NYK,31.0,17,0,120.0,1.7222222222222223,1.1533333333333333
S2324-G0028,4,WAS,15.0,17,0,99.0,0.8333333333333334,0.599
S2324-G0029,1,ATL,24.0,20,0,116.0,1.1428571428571428,0.8017142857142856
S2324-G0029,1,PHI,30.0,18,0,126.0,1.5789473684210527,1.0733684210526315
S2324-G0029,2,ATL,32.0,24,0,116.0,1.28,0.884
S2324-G0029,2,PHI,27.0,26,0,126.0,1.0,0.726
S2324-G0029,3,ATL,31.0,25,0,116.0,1.1923076923076923,0.8313846153846154
S2324-G0029,3,PHI,37.0,27,0,126.0,1.3214285714285714,0.9188571428571428
S2324-G0029,4,ATL,29.0,26,0,116.0,1.0740740740740742,0.7604444444444445
S2324-G0029,4,PHI,32.0,27,0,126.0,1.1428571428571428,0.8117142857142856
S2324-G0030,1,CLE,35.0,30,0,108.0,1.1290322580645162,0.7854193548387097
S2324-G0030,1,DET,26.0,29,0,100.0,0.8666666666666667,0.62
S2324-G0030,2,CLE,24.0,26,0,108.0,0.8888888888888888,0.6413333333333333
S2324-G0030,2,DET,19.0,27,0,100.0,0.6785714285714286,0.5071428571428571
S2324-G0030,3,CLE,21.0,17,0,108.0,1.1666666666666667,0.808
S2324-G0030,3,DET,28.0,16,0,100.0,1.6470588235294117,1.088235294117647
S2324-G0030,4,CLE,28.0,21,0,108.0,1.2727272727272727,0.8716363636363635
S2324-G0030,4,DET,27.0,26,0,100.0,1.0,0.7
S2324-G0031,1,BOS,26.0,23,0,108.0,1.0833333333333333,0.7579999999999999
S2324-G0031,1,TOR,32.0,21,0,105.0,1.4545454545454546,0.9777272727272727
S2324-G0031,2,BOS,39.0,23,0,108.0,1.625,1.083
S2324-G0031,2,TOR,17.0,24,0,105.0,0.68,0.513
S2324-G0031,3,BOS,19.0,23,0,108.0,0.7916666666666666,0.583
S2324-G0031,3,TOR,32.0,23,0,105.0,1.3333333333333333,0.9049999999999999
S2324-G0031,4,BOS,24.0,19,0,108.0,1.2,0.828
S2324-G0031,4,TOR,24.0,19,0,105.0,1.2,0.825
S2324-G0032,1,SAC,29.0,22,0,129.0,1.2608695652173914,0.8855217391304347
S2324-G0032,1,SAS,31.0,23,0,120.0,1.2916666666666667,0.895
S2324-G0032,2,SAC,33.0,31,0,129.0,1.03125,0.74775
S2324-G0032,2,SAS,31.0,34,0,120.0,0.8857142857142857,0.6514285714285714
S2324-G0032,3,SAC,33.0,27,0,129.0,1.1785714285714286,0.8361428571428572
S2324-G0032,3,SAS,32.0,25,0,120.0,1.2307692307692308,0.8584615384615385
S2324-G0032,4,SAC,34.0,16,0,129.0,2.0,1.329
S2324-G0032,4,SAS,26.0,17,0,120.0,1.4444444444444444,0.9866666666666666
S2324-G0033,1,CHI,16.0,17,0,97.0,0.8888888888888888,0.6303333333333333
S2324-G0033,1,ORL,23.0,18,0,103.0,1.2105263157894737,0.8293157894736841
S2324-G0033,2,CHI,17.0,24,0,97.0,0.68,0.505
S2324-G0033,2,ORL,25.0,22,0,103.0,1.0869565217391304,0.7551739130434781
S2324-G0033,3,CHI,32.0,25,0,97.0,1.2307692307692308,0.8354615384615385
S2324-G0033,3,ORL,29.0,28,0,103.0,1.0,0.703
S2324-G0033,4,CHI,32.0,22,0,97.0,1.391304347826087,0.9317826086956521
S2324-G0033,4,ORL,26.0,22,0,103.0,1.1304347826086956,0.7812608695652173
S2324-G0034,1,DEN,28.0,28,0,110.0,0.9655172413793104,0.6893103448275862
S2324-G0034,1,NOP,36.0,30,0,115.0,1.1612903225806452,0.8117741935483871
S2324-G0034,2,DEN,25.0,28,0,110.0,0.8620689655172413,0.6272413793103447
S2324-G0034,2,NOP,33.0,28,0,115.0,1.1379310344827587,0.7977586206896552
S2324-G0034,3,DEN,33.0,20,0,110.0,1.5714285714285714,1.052857142857143
S2324-G0034,3,NOP,26.0,22,0,115.0,1.1304347826086956,0.7932608695652174
S2324-G0034,4,DEN,24.0,20,0,110.0,1.1428571428571428,0.7957142857142856
S2324-G0034,4,NOP,20.0,20,0,115.0,0.9523809523809523,0.6864285714285714
S2324-G0035,1,PHX,41.0,24,0,131.0,1.64,1.1149999999999998
S2324-G0035,1,UTA,38.0,26,0,128.0,1.4074074074074074,0.9724444444444444
S2324-G0035,2,PHX,34.0,22,0,131.0,1.4782608695652173,1.0179565217391304
S2324-G0035,2,UTA,37.0,20,0,128.0,1.7619047619047619,1.185142857142857
S2324-G0035,3,PHX,27.0,22,0,131.0,1.173913043478261,0.8353478260869566
S2324-G0035,3,UTA,24.0,21,0,128.0,1.0909090909090908,0.7825454545454544
S2324-G0035,4,PHX,29.0,19,0,131.0,1.45,1.001
S2324-G0035,4,UTA,29.0,19,0,128.0,1.45,0.998
S2324-G0036,1,LAL,30.0,27,0,107.0,1.0714285714285714,0.7498571428571428
S2324-G0036,1,POR,23.0,25,0,95.0,0.8846153846153846,0.6257692307692307
S2324-G0036,2,LAL,30.0,30,0,107.0,0.967741935483871,0.6876451612903226
S2324-G0036,2,POR,27.0,28,0,95.0,0.9310344827586207,0.6536206896551724
S2324-G0036,3,LAL,22.0,23,0,107.0,0.9166666666666666,0.6569999999999999
S2324-G0036,3,POR,25.0,27,0,95.0,0.8928571428571429,0.6307142857142857
S2324-G0036,4,LAL,25.0,20,0,107.0,1.1904761904761905,0.8212857142857143
S2324-G0036,4,POR,20.0,19,0,95.0,1.0,0.695
S2324-G0037,1,HOU,23.0,24,0,100.0,0.92,0.652
S2324-G0037,1,LAC,29.0,22,0,106.0,1.2608695652173914,0.8625217391304347
S2324-G0037,2,HOU,27.0,20,0,100.0,1.2857142857142858,0.8714285714285714
S2324-G0037,2,LAC,19.0,19,0,106.0,0.95,0.6759999999999999
S2324-G0037,3,HOU,27.0,23,0,100.0,1.125,0.7749999999999999
S2324-G0037,3,LAC,31.0,27,0,106.0,1.1071428571428572,0.7702857142857142
S2324-G0037,4,HOU,23.0,21,0,100.0,1.0454545454545454,0.7272727272727272
S2324-G0037,4,LAC,27.0,22,0,106.0,1.173913043478261,0.8103478260869565
S2324-G0038,1,ORL,30.0,25,0,126.0,1.1538461538461537,0.8183076923076922
S2324-G0038,1,TOR,23.0,20,0,107.0,1.0952380952380953,0.7641428571428571
S2324-G0038,2,ORL,37.0,24,0,126.0,1.48,1.014
S2324-G0038,2,TOR,33.0,27,0,107.0,1.1785714285714286,0.8141428571428572
S2324-G0038,3,ORL,33.0,30,0,126.0,1.064516129032258,0.7647096774193548
S2324-G0038,3,TOR,26.0,28,0,107.0,0.896551724137931,0.6449310344827586
S2324-G0038,4,ORL,26.0,29,0,126.0,0.8666666666666667,0.646
S2324-G0038,4,TOR,25.0,24,0,107.0,1.0,0.707
S2324-G0039,1,ATL,40.0,30,0,152.0,1.2903225806451613,0.9261935483870968
S2324-G0039,1,IND,34.0,29,0,157.0,1.1333333333333333,0.837
S2324-G0039,2,ATL,46.0,28,0,152.0,1.5862068965517242,1.1037241379310345
S2324-G0039,2,IND,39.0,28,0,157.0,1.3448275862068966,0.9638965517241379
S2324-G0039,3,ATL,28.0,28,0,152.0,0.9655172413793104,0.7313103448275863
S2324-G0039,3,IND,46.0,27,0,157.0,1.6428571428571428,1.1427142857142858
S2324-G0039,4,ATL,38.0,25,0,152.0,1.4615384615384615,1.0289230769230768
S2324-G0039,4,IND,38.0,26,0,157.0,1.4074074074074074,1.0014444444444446
S2324-G0040,1,CLE,27.0,25,0,122.0,1.0384615384615385,0.7450769230769231
